unique_id,type_id,area,build_year,building_type,coordinates,equipment,floor,heating_system,microdistrict,no._of_floors,number_of_rooms,price,region,renovation_year,street,url,image_urls
3400057,1,25,1984,Block house,"54.68557,25.42491",Fully equipped,4,Central,Naujoji Vilnia,5,1,51000,Vilnius,0,Parko g.,aruodas.lt/1-3400057,"https://aruodas-img.dgn.lt/object_61_115297577/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297589/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297593/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297599/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297591/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297581/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297597/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297585/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297575/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297583/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297587/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297579/vilnius-naujoji-vilnia-parko-g.jpg,https://aruodas-img.dgn.lt/object_61_115297595/vilnius-naujoji-vilnia-parko-g.jpg"
3297966,1,63,1995,Brick,"55.91414,21.0891",Fully equipped,3,"Electric, aerothermal",,3,3,120000,Palanga,0,Vasaros g.,aruodas.lt/1-3297966,"https://aruodas-img.dgn.lt/object_61_109449381/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_109449583/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_109449585/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_108739692/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_108739690/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_112480537/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_112480535/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_108732732/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_109449581/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_109426539/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_108734446/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_109920033/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_112480531/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_112480533/palanga-vasaros-g.jpg,https://aruodas-img.dgn.lt/object_61_112480539/palanga-vasaros-g.jpg"
3400991,1,30,1970,Block house,"54.92788,23.97816",Fully equipped,4,Central,Dainava,5,1,47500,Kaunas,0,Partizanų g.,aruodas.lt/1-3400991,"https://skelbiu-img.dgn.lt/1_5_3871396589/vieno-kambario-butas-dainavoje.jpg,https://skelbiu-img.dgn.lt/1_5_3871396657/vieno-kambario-butas-dainavoje.jpg,https://skelbiu-img.dgn.lt/1_5_3871396591/vieno-kambario-butas-dainavoje.jpg,https://skelbiu-img.dgn.lt/1_5_3871396661/vieno-kambario-butas-dainavoje.jpg,https://skelbiu-img.dgn.lt/1_5_3871396593/vieno-kambario-butas-dainavoje.jpg,https://skelbiu-img.dgn.lt/1_5_3871396659/vieno-kambario-butas-dainavoje.jpg"
3400481,1,83.07,1973,Brick,"54.91568,23.89073",Not equipped,3,Other,Vilijampolė,3,3,38600,Kaunas,0,Stanaičių g.,aruodas.lt/1-3400481,"https://aruodas-img.dgn.lt/object_61_115326137/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326949/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326127/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326129/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326131/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326135/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326133/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326123/kaunas-vilijampole-stanaiciu-g.jpg,https://aruodas-img.dgn.lt/object_61_115326071/kaunas-vilijampole-stanaiciu-g.jpg"
3368154,1,45,1920,Brick,"54.89851,23.89085",Fully equipped,1,Central,Senamiestis,3,2,144000,Kaunas,0,Kumelių g.,aruodas.lt/1-3368154,"https://aruodas-img.dgn.lt/object_61_113198128/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113195826/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198130/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198478/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113588726/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113588724/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113588884/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198468/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198480/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198482/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113195828/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198134/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198138/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198136/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113591558/kaunas-senamiestis-kumeliu-g.jpg,https://aruodas-img.dgn.lt/object_61_113198132/kaunas-senamiestis-kumeliu-g.jpg"
3333527,1,36.52,1934,Log house,"54.91707,23.89072",Fully equipped,1,"Electric, solid fuel",Vilijampolė,2,2,36400,Kaunas,0,Jūratės g.,aruodas.lt/1-3333527,"https://aruodas-img.dgn.lt/object_61_110910795/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_114129612/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_114129616/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_114129606/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_114129602/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_114129600/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910605/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910601/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910603/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910617/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910607/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110946331/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910699/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910753/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910679/kaunas-vilijampole-jurates-g.jpg,https://aruodas-img.dgn.lt/object_61_110910717/kaunas-vilijampole-jurates-g.jpg"
3394575,1,53.01,2023,Brick,"54.74692,25.19621",Partially equipped,2,Aerothermal,Tarandė,4,2,137826,Vilnius,0,Užubalių g.,aruodas.lt/1-3394575,"https://aruodas-img.dgn.lt/object_61_115047563/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115047315/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556037/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556047/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115047567/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969669/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115111723/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969699/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115111725/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969701/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969695/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556025/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556023/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556269/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556035/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556039/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556033/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556041/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115047569/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556045/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969687/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969689/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969691/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969683/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_115047571/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969675/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969673/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969671/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556029/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556049/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114556031/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969681/vilnius-tarande-uzubaliu-g.jpg,https://aruodas-img.dgn.lt/object_61_114969679/vilnius-tarande-uzubaliu-g.jpg"
3400989,1,50,1979,Block house,"55.60713,26.42582",Fully equipped,9,Central,,9,2,24000,Visagino m.,0,Kosmoso g.,aruodas.lt/1-3400989,"https://aruodas-img.dgn.lt/object_61_115355937/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355939/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355941/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355943/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355945/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355947/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355949/visagino-m-kosmoso-g.jpg,https://aruodas-img.dgn.lt/object_61_115355951/visagino-m-kosmoso-g.jpg"
3377126,1,46,2023,Brick,"54.96397,23.81672",Partially equipped,2,Aerothermal,Užliedžių k.,3,2,75900,Kauno r. sav.,0,Pienių g.,aruodas.lt/1-3377126,"https://aruodas-img.dgn.lt/object_61_113807952/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807950/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807954/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807956/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807958/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807948/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807960/kauno-r-sav-uzliedziu-k-pieniu-g.jpg,https://aruodas-img.dgn.lt/object_61_113807962/kauno-r-sav-uzliedziu-k-pieniu-g.jpg"
3400987,1,65.54,2020,Brick,"54.89539,23.94204",Fully equipped,1,Gas,Vijūkų k.,2,3,138000,Kauno r. sav.,0,Ąžuolyno g.,aruodas.lt/1-3400987,"https://aruodas-img.dgn.lt/object_61_115355793/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355797/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355799/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355801/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355813/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355827/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355831/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355835/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355837/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355839/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355841/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355843/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355845/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355847/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355851/kauno-r-sav-vijuku-k-azuolyno-g.jpg,https://aruodas-img.dgn.lt/object_61_115355855/kauno-r-sav-vijuku-k-azuolyno-g.jpg"
