listing_id,type_id,price,region,microdistrict,street,coordinates,images,description,phone_number,private_seller,call_forwarding,reserved,sold_or_rented,area,type,accommodates_no._of_cars,link,add_date,modified,valid_till,selected,views_total,views_today,number,unique_item_number,features
53404,13,19900,Klaipėda,Sportininkai,Pušyno g.,"55.72338,21.11374","https://aruodas-img.dgn.lt/object_61_108608536/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608538/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608540/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608542/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608640/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608642/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608644/klaipeda-sportininkai-pusyno-g.jpg","Parduodamas atskirai stovintis garažas daugiabučių kieme, Yra elektra, naktį gerai apšviesas. Daugiau informacijos suteiksime telefonu.",+37066391572,True,True,False,False,17.0,For sale,1,m.aruodas.lt/13-53404,2024-01-02,2024-01-02,2024-12-27,10,370,14,,,
59982,13,7200,Panevėžys,Skaistakalnis,Pajuostės pl.,"55.72942,24.39412","https://aruodas-img.dgn.lt/object_61_113974314/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974324/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974320/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974334/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974328/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974332/panevezys-skaistakalnis-pajuostes-pl.jpg,https://aruodas-img.dgn.lt/object_61_113974336/panevezys-skaistakalnis-pajuostes-pl.jpg","Parduodamas Dembavoje mūrinis garažas ""Žibintas"" bendrijoje, Dembavos 29,  42kv. ploto, ilgis 6.20 metro plotis 3.50 metro, viršutinis plotas 21.7 kvadrato,su rusiu 42 kvadratai bendro ploto.Įvažiavimas stebimas vaizdo kameromis. KAINA 7200e 

KITAS GARAŽAS: Parduodamas Dembavoje mūrinis garažas šalia mokyklos ir degalines. Garažai yra Dembavos gatve 29 ""Žibintas"" bendrija. Garažo ilgis 6.10 metro, plotis 3.40 metro. Po visu garažu yra rusys- duobė. Bendro ploto su rusiu 41kv.
KAINA 7200e",+37069128053,True,True,False,False,42.0,For sale,1,m.aruodas.lt/13-59982,2023-11-09,2024-02-08,2025-02-02,6,479,39,,,
53947,13,44999,Vilnius,Šnipiškės,Daugėliškio g.,"54.70258,25.2815",https://aruodas-img.dgn.lt/object_61_109035319/vilnius-snipiskes-daugeliskio-g.jpg,"The last underground garage for sale under the residential building at Daugeliškio St. 11. Excellent location near the city center, with good access. The garage is dry at the entrance, making it convenient to load and unload bulky items. The garage area is 39 sq.m. Not suitable for cars due to the entrance width of 2.25m, most suitable for motorcycles or for storing items.

Ceiling height is approximately 2.5m, entrance height is 1.9m. Automatic gates for both the general entrance and the individual garage. Equipped with electricity and separate metering. Warm as it's located beneath a residential building. Accessible 24/7. Parking is monitored by cameras.
Price: 45,000 Eur.
https://www.sandeliukunuoma.lt/en/property/daugeliskio-st-11/ 

We can also offer storage units and garages in other areas of Vilnius: Naugarduko St. 41, Buvydiškių St. 36, Kareivių St. 19 (Žirmūnai), Smolensko St. 10 (Naujamiestis), Rygos St. 54 (Justiniškės), Eitminų St. 16 (Pašilaičiai), Perkūnkiemio St. 43 (Perkūnkiemis), Kareivių St. 2G (Žirmūnai).
www.sandeliukunuoma.lt 

Storage Unit Rental in Vilnius
Warehouse Rental in Vilnius
Storage Facilities in Vilnius
Storage Unit Rentals in Vilnius
Garage Rentals in Vilnius
Warehouse Space Rental in Vilnius
Storage Space Rental in Vilnius
Warehouse in Vilnius
Storage Unit in Vilnius
Garage in Vilnius",+37061644445,False,False,False,False,40.0,For sale,2,m.aruodas.lt/13-53947,2023-03-10,2024-01-04,2024-12-29,14,1957,16,11,,
61239,13,13900,Vilnius,Grigiškės,Vilniaus g.,"54.67009,25.10184","https://aruodas-img.dgn.lt/object_61_114845757/vilnius-grigiskes-vilniaus-g.jpg,https://aruodas-img.dgn.lt/object_61_114847463/vilnius-grigiskes-vilniaus-g.jpg","Parduodamas sausas garažas Grigiškėse, Vilniaus g.59. Kaina apie 13900. Kaina derinama.",+37066394152,True,True,False,False,,For sale,1,m.aruodas.lt/13-61239,2024-01-05,2024-01-26,2024-12-30,1,307,16,59,,
53404,13,19900,Klaipėda,Sportininkai,Pušyno g.,"55.72338,21.11374","https://aruodas-img.dgn.lt/object_61_108608536/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608538/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608540/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608542/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608640/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608642/klaipeda-sportininkai-pusyno-g.jpg,https://aruodas-img.dgn.lt/object_61_108608644/klaipeda-sportininkai-pusyno-g.jpg","Parduodamas atskirai stovintis garažas daugiabučių kieme, Yra elektra, naktį gerai apšviesas. Daugiau informacijos suteiksime telefonu.",+37066391572,True,True,False,False,17.0,For sale,1,m.aruodas.lt/13-53404,2024-01-02,2024-01-02,2024-12-27,10,370,14,,,
61061,13,10500,Panevėžys,Ateities g.,Ateities g.,"55.73511,24.31579",https://aruodas-img.dgn.lt/object_61_114707501/panevezys-ateities-g.jpg,"Šį turtą galima įsigyti išsimokėtinai, nevertinant amens turto ir gaunamų pajamų. Garažą galima nuomoti, nuomos kaina 50 Eur/mėn ir mokesčiai.",+37066392969,True,True,False,False,"16,01",For sale,1,m.aruodas.lt/13-61061,2023-12-28,2024-01-23,2024-12-22,3,411,18,19,2799-0000-7010:0073,"Security, water, heating"
61347,13,18300,Vilnius,Žirmūnai,Minties g.,"54.70672,25.30151","https://aruodas-img.dgn.lt/object_61_114951865/vilnius-zirmunai-minties-g.jpg,https://aruodas-img.dgn.lt/object_61_114951867/vilnius-zirmunai-minties-g.jpg","Parduodamas sausas garažas šalia Šiaurės miestelio, Minties g.1a.",+37066648438,True,True,False,False,"17,25",For sale,1,m.aruodas.lt/13-61347,2024-01-11,2024-02-06,2025-01-05,15,774,29,,,
56974,13,8700,Kauno r. sav.,Užliedžių k.,Ledos g.,"54.96579,23.81328","https://aruodas-img.dgn.lt/object_61_111644852/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644854/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644856/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644862/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644864/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644866/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644868/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644922/kauno-r-sav-uzliedziu-k-ledos-g.jpg,https://aruodas-img.dgn.lt/object_61_111644870/kauno-r-sav-uzliedziu-k-ledos-g.jpg","Garažas 24.93 m2 
Info telefonu


Domina keitimas į sklypą (Domeikava, varluva, lapės, drąseikiai ir pan.)",+37066392870,True,True,False,False,"24,93",For sale,1,m.aruodas.lt/13-56974,2023-07-17,2024-01-29,2025-01-23,3,887,22,,4400-1962-7611:6972,"Automatic gates, basement"
55987,13,12800,Kaunas,Islandijos pl.,Islandijos pl.,"54.93448,23.9641","https://aruodas-img.dgn.lt/object_61_113219052/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_113219282/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791399/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791403/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791405/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791407/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110816739/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110816743/kaunas-islandijos-pl.jpg,https://aruodas-img.dgn.lt/object_61_110791397/kaunas-islandijos-pl.jpg","Sausas šiltas ,pietinė pusė ,pusduobė per visą garažo ilgį. Nauji garažo vartai. +37066809283",+37066809283,True,True,False,False,"18,88",For sale,1,m.aruodas.lt/13-55987,2023-06-05,2024-01-13,2025-01-07,16,1585,25,83,,Pit
61459,13,35000,Klaipėda,Senamiestis,Danės g.,"55.71173,21.1355","https://aruodas-img.dgn.lt/object_61_115061429/klaipeda-senamiestis-danes-g.jpg,https://aruodas-img.dgn.lt/object_61_115037313/klaipeda-senamiestis-danes-g.jpg,https://aruodas-img.dgn.lt/object_61_115061427/klaipeda-senamiestis-danes-g.jpg","PARDUODA SAVININKAS
Danės g. 23 kieme parduodamas garažas

30kv. m. garažas naujais suremontuotas, pakeistas stogas, garažo vartai. Išbetonuotos grindys. Yra įvesta signalizacija. Garaže telpa automobilis ir dar pakankamai vietos lieka keliems motociklams, dviračiams ir t.t.",+37066391542,True,True,False,False,30.0,For sale,1,m.aruodas.lt/13-61459,2024-01-16,2024-02-08,,5,338,19,23,,"Security, automatic gates"
